,labels,preds,misclassified
0,0,1,True
1,0,0,False
2,0,0,False
3,2,2,False
4,1,1,False
5,1,1,False
6,1,1,False
7,0,0,False
8,1,1,False
9,2,2,False
10,1,1,False
11,1,1,False
12,1,1,False
13,0,0,False
14,0,1,True
15,0,0,False
16,0,0,False
17,0,0,False
18,0,0,False
19,0,1,True
20,1,1,False
21,1,1,False
22,1,1,False
23,1,1,False
24,0,0,False
25,1,1,False
26,0,0,False
27,1,1,False
28,0,0,False
29,2,2,False
30,1,1,False
31,0,0,False
32,1,1,False
33,0,1,True
34,0,1,True
35,2,2,False
36,1,1,False
37,2,2,False
38,1,1,False
39,0,1,True
40,0,0,False
41,1,1,False
42,0,0,False
43,0,0,False
44,1,1,False
45,0,0,False
46,0,0,False
47,0,0,False
48,2,2,False
49,1,1,False
50,1,1,False
51,0,0,False
52,1,1,False
53,1,1,False
54,1,1,False
55,1,1,False
56,0,0,False
57,1,1,False
58,0,0,False
59,0,0,False
60,0,0,False
61,0,0,False
62,0,1,True
63,1,1,False
64,0,0,False
65,1,1,False
66,2,2,False
67,1,1,False
68,1,1,False
69,1,1,False
70,0,0,False
71,0,1,True
72,0,0,False
73,0,0,False
74,2,2,False
75,0,0,False
76,0,0,False
77,2,2,False
78,0,0,False
79,0,0,False
80,1,1,False
81,2,2,False
82,2,2,False
83,1,1,False
84,2,2,False
85,0,1,True
86,1,1,False
87,1,1,False
88,0,0,False
89,2,2,False
90,1,1,False
91,0,0,False
92,0,0,False
93,0,1,True
94,1,1,False
95,1,1,False
96,0,0,False
97,0,0,False
98,2,2,False
99,0,0,False
100,1,1,False
101,1,1,False
102,1,1,False
103,0,0,False
104,0,0,False
105,1,1,False
106,0,0,False
107,0,0,False
108,2,2,False
109,1,1,False
110,1,1,False
111,0,0,False
112,2,2,False
113,1,1,False
114,1,1,False
115,2,2,False
116,0,0,False
117,0,1,True
118,1,1,False
119,1,1,False
120,0,1,True
121,1,1,False
122,0,0,False
123,0,0,False
124,1,1,False
125,0,0,False
126,1,1,False
127,1,1,False
128,0,0,False
129,2,2,False
130,0,0,False
131,1,1,False
132,0,0,False
133,1,1,False
134,0,0,False
135,1,1,False
136,0,0,False
137,1,1,False
138,1,1,False
139,0,0,False
140,0,0,False
141,0,0,False
142,1,1,False
143,1,1,False
144,0,0,False
145,1,1,False
146,1,1,False
147,0,0,False
148,1,1,False
149,0,0,False
150,0,0,False
151,1,1,False
152,0,0,False
153,0,0,False
154,1,1,False
155,1,1,False
156,0,0,False
157,1,1,False
158,1,1,False
159,0,0,False
160,1,1,False
161,2,2,False
162,1,1,False
163,0,0,False
164,2,2,False
165,1,1,False
166,1,1,False
167,0,0,False
168,1,1,False
169,1,1,False
170,0,0,False
171,0,0,False
172,1,1,False
173,0,0,False
174,0,0,False
175,1,1,False
176,1,1,False
177,1,1,False
178,1,1,False
179,0,0,False
180,0,0,False
181,0,0,False
182,1,1,False
183,0,0,False
184,0,0,False
185,1,1,False
186,1,1,False
187,0,0,False
188,0,0,False
189,1,1,False
190,1,1,False
191,1,1,False
192,0,0,False
193,0,0,False
194,1,1,False
195,1,1,False
196,0,0,False
197,0,0,False
198,1,1,False
199,0,0,False
200,1,1,False
201,0,0,False
202,0,1,True
203,1,1,False
204,1,1,False
205,1,1,False
206,0,0,False
207,0,0,False
208,1,1,False
209,1,1,False
210,0,0,False
211,1,1,False
212,0,1,True
213,0,0,False
214,1,1,False
215,0,0,False
216,1,1,False
217,1,1,False
218,1,1,False
219,1,1,False
220,0,0,False
221,1,1,False
222,1,1,False
223,1,1,False
224,1,1,False
225,0,0,False
226,0,0,False
227,1,1,False
228,0,0,False
229,0,0,False
230,1,1,False
231,0,0,False
232,1,1,False
233,0,0,False
234,0,0,False
235,1,1,False
236,0,0,False
237,1,1,False
238,1,1,False
239,0,1,True
240,0,0,False
241,1,1,False
242,0,0,False
243,1,1,False
244,1,1,False
245,1,1,False
246,2,2,False
247,1,1,False
248,2,2,False
249,0,0,False
250,0,0,False
251,1,1,False
252,1,1,False
253,2,2,False
254,1,1,False
255,2,2,False
256,0,1,True
257,1,1,False
258,0,1,True
259,0,0,False
260,1,1,False
261,0,0,False
262,1,1,False
263,0,0,False
264,0,0,False
265,1,1,False
266,1,1,False
267,1,1,False
268,2,2,False
269,0,0,False
270,0,0,False
271,0,0,False
272,1,1,False
273,2,2,False
274,0,0,False
275,1,1,False
276,1,1,False
277,1,1,False
278,0,0,False
279,0,0,False
280,0,0,False
281,1,1,False
282,1,1,False
283,1,1,False
284,0,0,False
285,0,0,False
286,0,0,False
287,0,1,True
288,1,1,False
289,1,1,False
290,2,2,False
291,1,1,False
292,1,1,False
293,1,1,False
294,0,0,False
295,0,0,False
296,0,1,True
297,2,2,False
